,dob,photo_taken,full_path,gender,age,pixels
33,722145,2007,['79/10015679_1977-03-01_2007.jpg'],1.0,30,"tensor([ 61.,  88.,  97.,  ...,  56., 146., 232.])"
35,725945,2012,['74/10016074_1987-07-27_2012.jpg'],1.0,25,"tensor([187., 191., 216.,  ..., 254., 227.,  76.])"
36,726136,2012,['25/10016225_1988-02-03_2012.jpg'],1.0,24,"tensor([106.,  97., 100.,  ..., 136., 154.,  78.])"
38,717180,2009,['88/10016688_1963-07-28_2009.jpg'],0.0,46,"tensor([142., 146., 145.,  ..., 193., 181., 183.])"
40,720839,2007,['64/10017464_1973-08-03_2007.jpg'],1.0,34,"tensor([ 47.,  39.,  37.,  ..., 125., 113., 123.])"
51,724779,2014,['21/10026321_1984-05-17_2014.jpg'],1.0,30,"tensor([ 48.,  47.,  42.,  ..., 111., 168., 255.])"
53,721280,2007,['62/10028362_1974-10-18_2007.jpg'],1.0,33,"tensor([78., 78., 80.,  ..., 49., 54., 50.])"
56,713769,2007,['71/1002871_1954-03-26_2007.jpg'],1.0,53,"tensor([211., 207., 204.,  ..., 124.,   2.,   1.])"
58,718098,2012,['80/1002980_1966-01-31_2012.jpg'],1.0,46,"tensor([173., 169., 170.,  ..., 167., 192., 199.])"
59,723355,2013,['13/10030613_1980-06-23_2013.jpg'],0.0,33,"tensor([  4.,  39., 131.,  ...,  27.,  25.,  30.])"
62,717802,2007,['43/1003243_1965-04-10_2007.jpg'],1.0,42,"tensor([155., 141., 140.,  ..., 164., 153., 159.])"
65,710562,2012,['59/10033359_1945-06-14_2012.jpg'],1.0,67,"tensor([160., 166., 156.,  ..., 129., 156., 183.])"
69,701488,1970,['49/1003449_1920-08-10_1970.jpg'],1.0,50,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
71,721930,2009,['29/10034929_1976-07-29_2009.jpg'],1.0,33,"tensor([150., 163., 171.,  ..., 203., 162., 134.])"
76,718549,2015,['84/100384_1967-04-27_2015.jpg'],1.0,48,"tensor([192., 193., 195.,  ..., 235., 191., 166.])"
77,719447,2013,['87/100387_1969-10-11_2013.jpg'],1.0,44,"tensor([  4.,   4.,   4.,  ..., 131.,  95.,  95.])"
82,721809,2006,['48/1003948_1976-03-30_2006.jpg'],0.0,30,"tensor([218., 221., 226.,  ..., 208., 200., 197.])"
85,722960,2010,['27/1004027_1979-05-25_2010.jpg'],1.0,31,"tensor([179.,  53.,  41.,  ..., 100.,  99.,  94.])"
92,719695,2007,['60/1004160_1970-06-16_2007.jpg'],1.0,37,"tensor([250., 243., 250.,  ...,  68.,  97., 165.])"
94,723590,2007,['29/1004429_1981-02-13_2007.jpg'],1.0,26,"tensor([ 79.,  82., 153.,  ..., 241., 251., 253.])"
95,721591,2011,['40/1004540_1975-08-25_2011.jpg'],0.0,36,"tensor([168., 168., 170.,  ...,   2.,   1.,   0.])"
101,690933,1958,['00/10049200_1891-09-16_1958.jpg'],0.0,67,"tensor([198., 200., 199.,  ..., 121., 119., 120.])"
104,707724,2010,['79/1005079_1937-09-06_2010.jpg'],0.0,73,"tensor([187., 180., 196.,  ..., 152., 125.,  44.])"
105,714236,2005,['31/1005131_1955-07-06_2005.jpg'],1.0,50,"tensor([ 3.,  3.,  3.,  ..., 45., 42., 61.])"
106,715885,2013,['58/1005258_1960-01-10_2013.jpg'],0.0,53,"tensor([207., 198., 181.,  ...,  28.,  28.,  28.])"
107,724074,2009,['11/10054011_1982-06-12_2009.jpg'],1.0,27,"tensor([ 97.,  99.,  88.,  ..., 204., 204., 206.])"
110,727835,2010,['79/10055379_1992-09-28_2010.jpg'],1.0,18,"tensor([  1.,   1.,   1.,  ..., 218., 220., 219.])"
113,723152,2006,['27/1005927_1979-12-03_2006.jpg'],1.0,27,"tensor([92., 95., 88.,  ..., 69., 55., 44.])"
125,725376,2009,['03/10064003_1986-01-04_2009.jpg'],0.0,23,"tensor([  5.,  13.,  16.,  ..., 249., 111., 127.])"
126,723369,2005,['07/1006407_1980-07-07_2005.jpg'],0.0,25,"tensor([198., 180., 160.,  ...,  56.,  47.,  38.])"
131,714046,2000,['92/100692_1954-12-28_2000.jpg'],1.0,46,"tensor([166., 167., 172.,  ...,  73.,  78., 118.])"
133,720644,2011,['07/1007007_1973-01-20_2011.jpg'],1.0,38,"tensor([ 0.,  0.,  0.,  ..., 65., 47., 23.])"
135,723835,2010,['45/10071745_1981-10-16_2010.jpg'],1.0,29,"tensor([199., 217., 239.,  ...,  58.,  63.,  69.])"
136,706891,2005,['92/1007192_1935-05-27_2005.jpg'],0.0,70,"tensor([255., 250., 220.,  ...,  37.,  31.,  35.])"
137,716334,2010,['71/10071_1961-04-03_2010.jpg'],0.0,49,"tensor([239., 238., 254.,  ...,   9.,   7.,  12.])"
139,720446,2009,['98/10072598_1972-07-06_2009.jpg'],1.0,37,"tensor([222., 218., 219.,  ...,  33.,  36.,  45.])"
141,724344,2013,['99/1007499_1983-03-09_2013.jpg'],1.0,30,"tensor([ 73.,  51.,  40.,  ..., 249., 219., 247.])"
142,710341,1982,['01/10075401_1944-11-05_1982.jpg'],1.0,38,"tensor([254., 254., 254.,  ..., 204., 204., 204.])"
143,726113,2010,['15/10075415_1988-01-11_2010.jpg'],0.0,22,"tensor([250., 222., 175.,  ..., 132.,  99.,  82.])"
148,711482,2007,['64/1007764_1947-12-21_2007.jpg'],1.0,60,"tensor([ 1.,  1.,  1.,  ..., 12.,  8.,  9.])"
155,727268,2010,['69/10079169_1991-03-11_2010.jpg'],0.0,19,"tensor([202., 184., 170.,  ..., 129., 131., 130.])"
156,725440,2009,['28/1007928_1986-03-09_2009.jpg'],0.0,23,"tensor([229., 234., 227.,  ..., 158.,  34.,  34.])"
157,725592,2014,['46/10080646_1986-08-08_2014.jpg'],0.0,28,"tensor([ 19.,  17.,  18.,  ..., 188., 119.,  60.])"
159,714766,2009,['33/1008133_1956-12-17_2009.jpg'],1.0,53,"tensor([236., 235., 230.,  ...,  22.,  23.,  18.])"
163,715313,2009,['83/1008283_1958-06-17_2009.jpg'],1.0,51,"tensor([255., 253., 255.,  ...,   3.,   1.,   4.])"
167,726548,2014,['76/10084176_1989-03-21_2014.jpg'],1.0,25,"tensor([74., 65., 60.,  ..., 97., 86., 82.])"
168,720175,2010,['01/1008501_1971-10-09_2010.jpg'],1.0,39,"tensor([ 83.,  72.,  52.,  ..., 227., 131.,  71.])"
169,721251,2015,['06/1008506_1974-09-19_2015.jpg'],0.0,41,"tensor([241., 252., 254.,  ..., 196., 138., 100.])"
175,710433,1973,['81/10088281_1945-02-05_1973.jpg'],1.0,28,"tensor([245., 244., 239.,  ..., 247., 249., 248.])"
176,707940,1976,['40/1008840_1938-04-10_1976.jpg'],1.0,38,"tensor([231., 231., 231.,  ..., 228., 228., 228.])"
177,714729,2008,['76/10088476_1956-11-10_2008.jpg'],1.0,52,"tensor([ 7.,  7.,  9.,  ..., 22., 25., 34.])"
179,724007,2002,['54/10088854_1982-04-06_2002.jpg'],1.0,20,"tensor([ 66.,  41.,  44.,  ..., 212., 161., 130.])"
181,724123,2009,['10/10089110_1982-07-31_2009.jpg'],1.0,27,"tensor([104., 157.,  85.,  ...,  61.,  78., 122.])"
183,719394,2000,['44/10089844_1969-08-19_2000.jpg'],1.0,31,"tensor([151., 141., 140.,  ..., 212., 195., 187.])"
186,725447,2012,['74/10093174_1986-03-16_2012.jpg'],1.0,26,"tensor([108., 110., 109.,  ...,  37.,  41.,  44.])"
189,726670,2011,['85/10093585_1989-07-21_2011.jpg'],0.0,22,"tensor([255., 242., 239.,  ...,   0.,   0.,   0.])"
192,723611,2007,['53/1009453_1981-03-06_2007.jpg'],0.0,26,"tensor([216., 187., 145.,  ..., 121.,  71.,  38.])"
201,696397,1941,['36/20000636_1906-09-02_1941.jpg'],1.0,35,"tensor([141., 132., 103.,  ...,  83.,  85.,  71.])"
202,721688,1996,['19/2000219_1975-11-30_1996.jpg'],0.0,21,"tensor([107., 107., 107.,  ...,  51.,  51.,  51.])"
205,723820,2013,['62/2000562_1981-10-01_2013.jpg'],1.0,32,"tensor([81., 55., 42.,  ..., 29., 33., 44.])"
209,712284,2011,['74/20008074_1950-03-02_2011.jpg'],1.0,61,"tensor([189., 180., 175.,  ...,  88.,  87.,  67.])"
212,718933,2007,['64/20010364_1968-05-15_2007.jpg'],1.0,39,"tensor([146., 133., 125.,  ...,  27.,  22.,  19.])"
214,715880,2013,['18/2001318_1960-01-05_2013.jpg'],1.0,53,"tensor([21., 21., 21.,  ..., 43., 43., 43.])"
215,725511,2012,['06/20013406_1986-05-19_2012.jpg'],1.0,26,"tensor([224., 242., 255.,  ..., 255., 255., 255.])"
216,703348,1958,['13/20013513_1925-09-13_1958.jpg'],1.0,33,"tensor([ 83.,  83.,  83.,  ..., 127., 127., 127.])"
220,727149,2011,['78/20015278_1990-11-12_2011.jpg'],1.0,21,"tensor([195., 179., 166.,  ..., 202., 185., 191.])"
224,711147,1993,['40/2001740_1947-01-20_1993.jpg'],1.0,46,"tensor([ 83.,  83.,  81.,  ..., 150., 151., 153.])"
229,726846,2014,['61/20022961_1990-01-13_2014.jpg'],1.0,24,"tensor([177., 109.,  72.,  ...,  92.,  92.,  80.])"
236,722884,2009,['55/20025755_1979-03-10_2009.jpg'],1.0,30,"tensor([ 32.,  30.,  17.,  ..., 230., 223., 241.])"
238,702375,1951,['69/20027069_1923-01-14_1951.jpg'],1.0,28,"tensor([218., 232., 233.,  ..., 192., 181., 161.])"
239,727001,2014,['50/20027350_1990-06-17_2014.jpg'],1.0,24,"tensor([ 58.,  54.,  42.,  ..., 198., 128., 102.])"
241,724182,2013,['56/2002856_1982-09-28_2013.jpg'],0.0,31,"tensor([1., 0., 5.,  ..., 0., 0., 0.])"
249,718612,2009,['40/20033040_1967-06-29_2009.jpg'],0.0,42,"tensor([ 69.,  48.,  17.,  ..., 255.,  60.,  96.])"
251,715128,2014,['35/20033935_1957-12-14_2014.jpg'],1.0,57,"tensor([ 4., 10., 10.,  ..., 41., 41., 29.])"
252,725552,2009,['55/20034355_1986-06-29_2009.jpg'],1.0,23,"tensor([141., 161., 162.,  ..., 185.,  26.,  46.])"
254,687270,1944,['57/200357_1881-09-05_1944.jpg'],1.0,63,"tensor([163., 165., 151.,  ...,  87.,  68.,  51.])"
259,688817,1940,['85/200385_1885-11-30_1940.jpg'],1.0,55,"tensor([158., 158., 158.,  ...,  50.,  50.,  50.])"
262,692069,1944,['03/20042203_1894-10-26_1944.jpg'],1.0,50,"tensor([ 38.,  38.,  38.,  ..., 255., 255., 255.])"
266,716387,2011,['55/2004855_1961-05-26_2011.jpg'],1.0,50,"tensor([22., 23., 18.,  ...,  9.,  8.,  4.])"
269,718757,2010,['28/20050128_1967-11-21_2010.jpg'],1.0,43,"tensor([7., 7., 7.,  ..., 0., 0., 0.])"
273,720554,2008,['90/2005290_1972-10-22_2008.jpg'],0.0,36,"tensor([230., 230., 230.,  ..., 110.,  70.,  44.])"
275,706981,1956,['58/20054558_1935-08-25_1956.jpg'],1.0,21,"tensor([197., 173., 145.,  ..., 104.,  73.,  44.])"
276,714740,2009,['74/2005574_1956-11-21_2009.jpg'],0.0,53,"tensor([254., 254., 254.,  ...,  39.,  29.,  30.])"
278,711151,1978,['91/200591_1947-01-24_1978.jpg'],1.0,31,"tensor([236., 236., 236.,  ...,  58.,  62.,  71.])"
283,696876,1945,['61/2006361_1907-12-25_1945.jpg'],1.0,38,"tensor([18., 18., 18.,  ..., 15., 15., 15.])"
287,707072,1960,['81/20065381_1935-11-24_1960.jpg'],1.0,25,"tensor([54., 54., 54.,  ..., 64., 64., 64.])"
289,701199,1973,['98/20065598_1919-10-26_1973.jpg'],1.0,54,"tensor([ 30., 128., 137.,  ..., 249., 254., 232.])"
290,718369,2003,['79/2006579_1966-10-29_2003.jpg'],1.0,37,"tensor([234., 226., 205.,  ..., 111., 126., 131.])"
293,712028,2011,['09/20068709_1949-06-19_2011.jpg'],1.0,62,"tensor([14., 20., 32.,  ..., 22., 23., 27.])"
294,721103,2009,['78/20069078_1974-04-24_2009.jpg'],1.0,35,"tensor([ 3.,  5.,  4.,  ..., 35., 39., 48.])"
295,716794,2011,['30/2006930_1962-07-07_2011.jpg'],1.0,49,"tensor([ 29.,  51., 100.,  ...,  52.,  51.,  56.])"
299,710563,2015,['94/2007194_1945-06-15_2015.jpg'],1.0,70,"tensor([ 25.,  13.,  23.,  ...,  17.,  35., 109.])"
304,720728,2014,['50/200750_1973-04-14_2014.jpg'],1.0,41,"tensor([46., 58., 44.,  ..., 38., 38., 40.])"
307,719651,2009,['16/2008016_1970-05-03_2009.jpg'],1.0,39,"tensor([189., 119.,  68.,  ...,  26.,  20.,  22.])"
314,706789,1956,['29/20088629_1935-02-14_1956.jpg'],1.0,21,"tensor([211., 211., 199.,  ..., 172., 174., 161.])"
316,722043,2012,['15/20089715_1976-11-19_2012.jpg'],1.0,36,"tensor([197.,  33.,  44.,  ...,  25.,  25.,  25.])"
319,725266,2010,['26/2009326_1985-09-16_2010.jpg'],1.0,25,"tensor([106.,  99.,  81.,  ...,  33.,  33.,  33.])"
320,717470,2008,['14/2009614_1964-05-13_2008.jpg'],1.0,44,"tensor([ 19.,   9.,   8.,  ..., 214., 153., 125.])"
329,726715,2011,['36/30001236_1989-09-04_2011.jpg'],1.0,22,"tensor([1., 1., 3.,  ..., 0., 1., 3.])"
339,724961,2012,['87/30008387_1984-11-15_2012.jpg'],0.0,28,"tensor([191., 215., 193.,  ..., 153.,  18.,  33.])"
340,727769,2015,['53/30009853_1992-07-24_2015.jpg'],1.0,23,"tensor([224., 224., 226.,  ..., 174., 173., 181.])"
342,722305,2011,['99/3001099_1977-08-08_2011.jpg'],0.0,34,"tensor([ 81.,  74., 144.,  ..., 208., 162., 128.])"
347,717365,2010,['35/30011835_1964-01-29_2010.jpg'],1.0,46,"tensor([246., 237., 228.,  ..., 133.,  59.,  72.])"
350,723577,2012,['26/3001226_1981-01-31_2012.jpg'],,31,"tensor([250., 165.,  84.,  ...,  73., 104., 148.])"
354,710302,2010,['77/3001477_1944-09-27_2010.jpg'],0.0,66,"tensor([58.,  6.,  8.,  ..., 11., 12., 14.])"
361,719999,2011,['53/3002053_1971-04-16_2011.jpg'],1.0,40,"tensor([228., 227., 225.,  ..., 241., 245., 246.])"
364,724905,2011,['29/30021129_1984-09-20_2011.jpg'],1.0,27,"tensor([24., 42., 16.,  ..., 60., 59., 55.])"
367,718875,2007,['36/30022636_1968-03-18_2007.jpg'],1.0,39,"tensor([244., 244., 244.,  ...,  12.,  12.,  12.])"
370,703401,2008,['25/30028425_1925-11-05_2008.jpg'],1.0,83,"tensor([201., 142.,  84.,  ...,  18.,  18.,  16.])"
373,724373,2012,['12/3002912_1983-04-07_2012.jpg'],1.0,29,"tensor([195., 205., 217.,  ..., 246., 224., 210.])"
376,714772,2014,['21/3003021_1956-12-23_2014.jpg'],1.0,58,"tensor([222., 185.,  70.,  ...,  21.,  15.,  17.])"
382,714890,2011,['47/30034447_1957-04-20_2011.jpg'],1.0,54,"tensor([229., 233., 236.,  ...,  61.,  59.,  64.])"
383,714208,2014,['34/30034_1955-06-08_2014.jpg'],1.0,59,"tensor([19., 11.,  8.,  ..., 32., 48., 64.])"
389,725098,2006,['03/30040203_1985-04-01_2006.jpg'],1.0,21,"tensor([63., 68., 71.,  ..., 38., 52., 35.])"
396,710742,2012,['02/30046202_1945-12-11_2012.jpg'],1.0,67,"tensor([202.,  45.,  66.,  ...,  23.,  21.,  22.])"
398,722879,2010,['34/3004634_1979-03-05_2010.jpg'],1.0,31,"tensor([ 21.,  23.,  22.,  ..., 147., 177., 227.])"
404,719019,2009,['72/3005072_1968-08-09_2009.jpg'],1.0,41,"tensor([149., 124.,  67.,  ...,  72.,  56.,  22.])"
409,727541,2014,['13/30058713_1991-12-09_2014.jpg'],1.0,23,"tensor([200., 222., 243.,  ...,  85., 100., 129.])"
412,727269,2015,['62/30061462_1991-03-12_2015.jpg'],0.0,24,"tensor([ 97.,  96., 102.,  ...,  55.,  37.,  59.])"
413,727270,2010,['79/30062079_1991-03-13_2010.jpg'],0.0,19,"tensor([ 45.,  52.,  60.,  ..., 247., 212., 184.])"
417,692028,1977,['50/300650_1894-09-15_1977.jpg'],1.0,83,"tensor([28., 28., 28.,  ..., 53., 53., 53.])"
419,698271,1941,['58/30066658_1911-10-20_1941.jpg'],1.0,30,"tensor([241., 241., 241.,  ..., 212., 212., 212.])"
420,711945,2005,['51/3006751_1949-03-28_2005.jpg'],1.0,56,"tensor([183., 190., 200.,  ...,  62., 100., 171.])"
421,722097,2009,['56/3006756_1977-01-12_2009.jpg'],1.0,32,"tensor([ 15.,  19.,  20.,  ...,   1.,  28., 205.])"
422,716479,2011,['50/3006850_1961-08-26_2011.jpg'],1.0,50,"tensor([ 64.,  30.,  18.,  ..., 157., 155., 179.])"
426,705202,2010,['57/3007157_1930-10-11_2010.jpg'],1.0,80,"tensor([110., 110.,  98.,  ..., 154., 145., 140.])"
427,726786,2012,['49/30072249_1989-11-14_2012.jpg'],1.0,23,"tensor([187., 144., 138.,  ..., 206., 216., 226.])"
429,713934,2013,['77/3007277_1954-09-07_2013.jpg'],1.0,59,"tensor([137., 128., 131.,  ..., 196., 177., 147.])"
430,727609,2014,['89/30073089_1992-02-15_2014.jpg'],1.0,22,"tensor([114.,  36.,  13.,  ..., 142., 124., 112.])"
431,707999,2000,['35/3007535_1938-06-08_2000.jpg'],1.0,62,"tensor([250., 250., 250.,  ..., 186., 176., 151.])"
434,728130,2014,['45/30079345_1993-07-20_2014.jpg'],1.0,21,"tensor([186., 218.,  93.,  ..., 252.,  74., 150.])"
438,715033,2014,['19/3008319_1957-09-10_2014.jpg'],0.0,57,"tensor([171., 168., 163.,  ..., 200., 173., 162.])"
444,719705,2013,['93/3008793_1970-06-26_2013.jpg'],1.0,43,"tensor([21., 21., 23.,  ..., 28., 29., 33.])"
449,726081,2013,['19/30092419_1987-12-10_2013.jpg'],1.0,26,"tensor([ 45., 152., 206.,  ...,  80.,  76.,  64.])"
451,728484,2012,['48/30093048_1994-07-09_2012.jpg'],1.0,18,"tensor([112., 110.,  98.,  ...,  18.,  89., 169.])"
455,725287,2009,['63/30099963_1985-10-07_2009.jpg'],1.0,24,"tensor([110., 172., 211.,  ...,   8.,   9.,  11.])"
457,721794,2009,['41/4000241_1976-03-15_2009.jpg'],0.0,33,"tensor([144., 139., 136.,  ...,  34.,  34.,  34.])"
460,708488,1997,['62/400062_1939-10-10_1997.jpg'],1.0,58,"tensor([  0.,   0.,   0.,  ..., 231., 233., 232.])"
468,715340,2009,['48/40021348_1958-07-14_2009.jpg'],1.0,51,"tensor([154., 121.,  67.,  ..., 166., 141., 119.])"
470,726491,2014,['72/40023572_1989-01-23_2014.jpg'],1.0,25,"tensor([ 24.,  23.,  21.,  ..., 188., 171., 163.])"
474,725991,2014,['51/40031851_1987-09-11_2014.jpg'],0.0,27,"tensor([  9.,  44., 144.,  ...,  36.,  33.,  28.])"
475,728037,2013,['41/40032041_1993-04-18_2013.jpg'],1.0,20,"tensor([216., 218., 205.,  ..., 232., 233., 237.])"
483,725230,2014,['90/40038790_1985-08-11_2014.jpg'],1.0,29,"tensor([ 15.,  11.,   8.,  ..., 244., 240., 215.])"
488,705090,1973,['24/4004224_1930-06-21_1973.jpg'],1.0,43,"tensor([235., 225., 213.,  ..., 232., 226., 226.])"
491,721962,2013,['45/40044245_1976-08-30_2013.jpg'],1.0,37,"tensor([183., 196., 241.,  ..., 210., 214., 251.])"
496,724500,2010,['31/40052531_1983-08-12_2010.jpg'],,27,"tensor([179., 183., 192.,  ..., 181., 202., 229.])"
500,717917,2011,['90/40053390_1965-08-03_2011.jpg'],1.0,46,"tensor([36., 33., 40.,  ..., 39., 36., 43.])"
501,722523,2007,['88/4005388_1978-03-14_2007.jpg'],0.0,29,"tensor([ 12.,  12.,  12.,  ..., 127.,  76.,  45.])"
504,715299,2011,['59/40056659_1958-06-03_2011.jpg'],1.0,53,"tensor([ 80.,  75.,  71.,  ..., 243., 243., 243.])"
508,718896,2015,['95/400595_1968-04-08_2015.jpg'],0.0,47,"tensor([187., 140., 122.,  ..., 109.,  20.,  38.])"
512,726989,2013,['08/40061508_1990-06-05_2013.jpg'],,23,"tensor([ 10.,  13.,   4.,  ..., 232., 232., 242.])"
513,728664,2013,['28/40061528_1995-01-05_2013.jpg'],,18,"tensor([ 11.,  21.,   0.,  ...,  47., 119., 203.])"
518,723293,2007,['13/4006513_1980-04-22_2007.jpg'],0.0,27,"tensor([31., 33., 30.,  ..., 81., 77., 66.])"
519,726965,2013,['20/40066920_1990-05-12_2013.jpg'],1.0,23,"tensor([ 43.,  53.,  18.,  ..., 238., 238., 240.])"
521,727976,2013,['71/40067271_1993-02-16_2013.jpg'],0.0,20,"tensor([ 97.,  91.,  91.,  ..., 194., 196., 211.])"
523,714618,2013,['72/40067672_1956-07-22_2013.jpg'],1.0,57,"tensor([209., 194., 175.,  ...,  35.,  30.,  34.])"
526,710580,2012,['37/40069437_1945-07-02_2012.jpg'],1.0,67,"tensor([166.,  59.,  43.,  ...,  73.,  64.,  57.])"
528,721997,2014,['65/40073765_1976-10-04_2014.jpg'],0.0,38,"tensor([ 23.,  19.,  20.,  ..., 219., 168., 141.])"
529,724502,2012,['38/400738_1983-08-14_2012.jpg'],0.0,29,"tensor([233., 217., 158.,  ...,  26.,  28.,  27.])"
532,727216,2014,['78/40076878_1991-01-18_2014.jpg'],0.0,23,"tensor([125., 145.,  94.,  ..., 205., 214., 231.])"
537,720392,2015,['30/4008530_1972-05-13_2015.jpg'],1.0,43,"tensor([11., 12.,  7.,  ..., 11., 29., 69.])"
541,723587,2014,['32/40092132_1981-02-10_2014.jpg'],0.0,33,"tensor([209., 209., 209.,  ..., 105.,  65.,  57.])"
542,726131,2014,['63/40092263_1988-01-29_2014.jpg'],1.0,26,"tensor([ 49.,  68.,  83.,  ..., 231., 179., 131.])"
544,726738,2013,['08/40093408_1989-09-27_2013.jpg'],0.0,24,"tensor([137., 159., 182.,  ..., 236., 234., 237.])"
546,718440,2007,['72/4009972_1967-01-08_2007.jpg'],1.0,40,"tensor([14., 32., 20.,  ..., 25., 26., 30.])"
548,700352,1944,['13/5001813_1917-07-01_1944.jpg'],1.0,27,"tensor([255., 255., 255.,  ..., 255., 255., 255.])"
549,725398,2009,['62/5001962_1986-01-26_2009.jpg'],0.0,23,"tensor([39., 59., 83.,  ..., 28., 36., 39.])"
550,715559,2014,['78/5002778_1959-02-18_2014.jpg'],0.0,55,"tensor([160.,  36.,  47.,  ..., 172., 162., 173.])"
551,724433,2013,['73/5003173_1983-06-06_2013.jpg'],0.0,30,"tensor([190.,  99., 143.,  ...,  21.,  18.,  13.])"
555,723120,2012,['66/5006566_1979-11-01_2012.jpg'],0.0,33,"tensor([217., 192., 152.,  ...,   7.,  20.,  39.])"
557,705722,1975,['04/5007104_1932-03-14_1975.jpg'],1.0,43,"tensor([211., 211., 211.,  ..., 251., 251., 251.])"
558,725129,2007,['34/5007334_1985-05-02_2007.jpg'],0.0,22,"tensor([101., 101., 103.,  ...,  44.,  43.,  48.])"
561,725954,2012,['14/5008614_1987-08-05_2012.jpg'],0.0,25,"tensor([217., 255., 244.,  ..., 232., 246., 255.])"
563,719817,2011,['69/5008869_1970-10-16_2011.jpg'],1.0,41,"tensor([172.,  50.,  61.,  ..., 254.,  74.,  85.])"
564,724498,2010,['29/5009229_1983-08-10_2010.jpg'],0.0,27,"tensor([  8.,   9.,  11.,  ..., 178., 183., 187.])"
567,721517,2015,['24/6000124_1975-06-12_2015.jpg'],1.0,40,"tensor([165., 154., 152.,  ...,  46.,  33., 102.])"
569,720000,2014,['02/6001202_1971-04-17_2014.jpg'],1.0,43,"tensor([162., 162., 172.,  ...,  51.,  49.,  34.])"
571,698307,1976,['70/6001570_1911-11-25_1976.jpg'],1.0,65,"tensor([218., 218., 218.,  ...,  75.,  75.,  75.])"
578,707894,1957,['91/600291_1938-02-23_1957.jpg'],0.0,19,"tensor([ 53.,  48.,  42.,  ..., 115.,  81.,  69.])"
579,720144,2013,['32/600332_1971-09-08_2013.jpg'],1.0,42,"tensor([248., 251., 230.,  ...,  30.,  32.,  31.])"
580,724014,2011,['90/600390_1982-04-13_2011.jpg'],0.0,29,"tensor([247., 246., 251.,  ..., 243., 214., 200.])"
582,706092,1966,['69/6005569_1933-03-19_1966.jpg'],0.0,33,"tensor([12., 12., 12.,  ..., 30., 30., 30.])"
586,705670,1973,['22/6007022_1932-01-22_1973.jpg'],1.0,41,"tensor([150., 150., 150.,  ..., 230., 230., 230.])"
587,718203,2011,['70/60070_1966-05-16_2011.jpg'],0.0,45,"tensor([156., 160., 163.,  ...,  51.,  69.,  55.])"
592,725835,2009,['49/6008849_1987-04-08_2009.jpg'],1.0,22,"tensor([101., 130., 134.,  ..., 193.,   0.,   3.])"
594,726745,2014,['10/7000810_1989-10-04_2014.jpg'],0.0,25,"tensor([96., 97., 91.,  ..., 20., 18., 19.])"
595,713150,2008,['24/700124_1952-07-15_2008.jpg'],1.0,56,"tensor([229., 229., 229.,  ...,  33.,  33.,  33.])"
596,697696,1945,['48/700148_1910-03-24_1945.jpg'],1.0,35,"tensor([ 58.,  58.,  58.,  ..., 113., 113., 113.])"
